Year,Local Authority,Housing association,Other public sector,Private sector,Total
2009,1.82,2.20,0.07,18.61,22.69
2010,1.79,2.24,0.06,18.74,22.84
2011,1.73,2.32,0.06,282.66,22.98
2012,1.69,2.36,0.07,18.99,23.12
2013,1.68,2.39,0.07,19.11,23.25
2014,1.67,2.41,0.06,19.25,23.39
2015,1.64,2.45,0.06,19.42,23.57
2016,1.61,2.49,0.06,19.60,23.76
2017,1.60,2.51,0.06,19.82,23.99
2018,1.59,2.54,0.04,20.04,24.21
2019,1.59,2.56,0.04,20.27,24.46
2020,1.58,2.58,0.03,20.51,24.71
2021,1.58,2.60,0.03,20.71,24.93
2022,1.58,2.62,0.03,20.93,25.16
2023,1.57,2.65,0.03,21.15,25.40
2024,1.57,2.67,0.03,21.34,25.62
2025,1.57,2.70,0.03,21.53,25.83
